5986,康南路站	805,谢村站 
5984,康南路口站	805,谢村站 
5983,康南路北总站	805,谢村站 
5982,康南路北站	805,谢村站 
5981,康南路北站	805,谢村站 
5977,康龙大街站	805,谢村站 
5974,康乐五社站	805,谢村站 
5972,康乐三社站	805,谢村站 
5967,康湖大街站	805,谢村站 
5965,康大职业技术学院站	805,谢村站 
5964,开源大道中站	805,谢村站 
7112,上庄站	805,谢村站 
6894,田心大路口站	805,谢村站 
6888,田心西路总站	805,谢村站 
6883,粤溪北路站	805,谢村站 
6876,荔德路站	805,谢村站 
9926,上步大道口站	805,谢村站 
7749,新墩大道站	805,谢村站 
7746,新墩村口站	805,谢村站 
9758,龙河中路站	805,谢村站 
7655,牛利岗南街站	805,谢村站 
7645,寺右南街站	805,谢村站 
9668,启学路站	805,谢村站 
7614,西塱村委站	805,谢村站 
10189,思成路站	805,谢村站 
7582,炕头站	805,谢村站 
7576,炕头站	805,谢村站 
7552,南新大街口站	805,谢村站 
7539,槎头万龙二街站	805,谢村站 
7536,元下田二路八巷口站	805,谢村站 
9607,滘心路北站	805,谢村站 
7475,体育西横街路口站	805,谢村站 
7460,长红东路站	805,谢村站 
7457,东平东凤西路站	805,谢村站 
7415,李溪村委站	805,谢村站 
7413,新庄站	805,谢村站 
7395,莘田村委站	805,谢村站 
7379,天和站	805,谢村站 
7377,三凤村站	805,谢村站 
7373,九湖村站	805,谢村站 
7371,花山中队站	805,谢村站 
7368,花山镇政府站	805,谢村站 
7361,石塘卫生站	805,谢村站 
7353,云峰花园站	805,谢村站 
7350,清布站	805,谢村站 
7346,云峰花园站	805,谢村站 
7343,东莞村口站	805,谢村站 
7338,石塘水泥厂站	805,谢村站 
7336,东镜市场站	805,谢村站 
7334,培新中学站	805,谢村站 
7309,团结村站	805,谢村站 
7287,交运技术学院站	805,谢村站 
7270,新世纪广场东站	805,谢村站 
7252,白沙村委站	805,谢村站 
7221,人和华盛南路站	805,谢村站 
7194,云城东路(云城南二路口)站	805,谢村站 
7192,云港路站	805,谢村站 
7174,矮岗村委站	805,谢村站 
7107,云城东路南站	805,谢村站 
7102,云城南四路站	805,谢村站 
