7433,李溪村委站	12791,林头西站 
7352,迎宾大道东站	12791,林头西站 
7333,红珠路口站	12791,林头西站 
7305,新市墟站4	12791,林头西站 
7273,布心市场站	12791,林头西站 
7093,钟升东路站	12791,林头西站 
7051,聚贤街牌坊	12791,林头西站 
7034,秋鹿路站	12791,林头西站 
7021,下亨田站	12791,林头西站 
10225,大麦庄站	12791,林头西站 
6971,钻石花园站	12791,林头西站 
6941,茶园市场站	12791,林头西站 
6753,新和村站	12791,林头西站 
6559,高普路软件路口站	12791,林头西站 
6549,省皮肤病防治中心	12791,林头西站 
6480,龙美村站	12791,林头西站 
3621,南岗西路南站	12791,林头西站 
3620,南岗码头总站	12791,林头西站 
3619,南岗化工厂站	12791,林头西站 
3618,南岗化工厂站	12791,林头西站 
3617,南岗沧头站	12791,林头西站 
3616,南岗沧头站	12791,林头西站 
3613,南岗(国际玩具礼品城)总站	12791,林头西站 
3611,南风庄站	12791,林头西站 
3610,南风庄站	12791,林头西站 
3609,南方医院总站	12791,林头西站 
3608,南方医院站2	12791,林头西站 
3607,南方医院站2	12791,林头西站 
3606,南方医院站1	12791,林头西站 
3605,南方医院站1	12791,林头西站 
3602,南方医科大学站	12791,林头西站 
3601,南方医科大学站	12791,林头西站 
3600,南方大厦站2	12791,林头西站 
3599,南方大厦站1	12791,林头西站 
10825,新广场站	12791,林头西站 
10822,美丽华大酒店站	12791,林头西站 
10821,市桥大桥北站	12791,林头西站 
10820,新广场站	12791,林头西站 
10811,媒体村站	12791,林头西站 
10808,广医四院西门站	12791,林头西站 
10807,广医四院西门站	12791,林头西站 
10803,地铁海傍站	12791,林头西站 
10697,马岗(广大服装城)总站	12791,林头西站 
10684,粤溪村总站	12791,林头西站 
10656,莲花山港总站	12791,林头西站 
9221,大石四中站	12791,林头西站 
9172,东海北路口站	12791,林头西站 
9168,地铁龙溪站	12791,林头西站 
9139,同和榕树头站	12791,林头西站 
9131,白江村站	12791,林头西站 
9113,锦绣新天地站	12791,林头西站 
9108,公汽总站	12791,林头西站 
9106,岗丰村站	12791,林头西站 
9104,永和中队站	12791,林头西站 
10606,凤凰安置区站	12791,林头西站 
10422,金联市场站	12791,林头西站 
8653,天泰二路站	12791,林头西站 
8651,莲花砚路站	12791,林头西站 
10387,瑞边村站	12791,林头西站 
8616,龙古村站	12791,林头西站 
8600,南沙村站	12791,林头西站 
8591,砺江桥站	12791,林头西站 
8588,石楼碧桂园站	12791,林头西站 
8586,茭塘东站	12791,林头西站 
8583,胜洲村中心站	12791,林头西站 
8576,石楼碧桂园站	12791,林头西站 
8573,砺江桥站	12791,林头西站 
8568,浮莲岗站	12791,林头西站 
8556,横沥北街口站	12791,林头西站 
7651,员村五横路口站	12791,林头西站 
7601,珠岛花园公交场站	12791,林头西站 
7468,同宝路站	12791,林头西站 
7466,白山村居委站	12791,林头西站 
7241,北太路柏塘村口站	12791,林头西站 
10982,西丽小学站	12791,林头西站 
7094,马沥村站	12791,林头西站 
7086,广东机电技术学院	12791,林头西站 
7072,石井大道(工业园)	12791,林头西站 
7064,石井大道(石沙路口)	12791,林头西站 
7052,朗头村站	12791,林头西站 
7047,机场西路尖彭路口站	12791,林头西站 
